series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T37.A.Q.,T37,Trade indices - individual countries/areas,840,C,United States,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,3.34563629,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,840,C,United States,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,9.12140399,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,40,C,Austria,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,3.06419455,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,40,C,Austria,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,1.33301017,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,68,C,Bolivia (Plurinational State of),1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,490.79524947,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,76,C,Brazil,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,11.53261161,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,124,C,Canada,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,4.58690402,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,124,C,Canada,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,3.64324006,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,144,C,Sri Lanka,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,13.74615178,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,144,C,Sri Lanka,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,21.29681808,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,208,C,Denmark,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,5.18947424,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,208,C,Denmark,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,3.40029452,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,246,C,Finland,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,6.53011538,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,246,C,Finland,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,4.18681201,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,251,C,France,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,3.2335994,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,251,C,France,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,1.88343393,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,276,C,Germany,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,4.62029692,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,276,C,Germany,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,15.48260093,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,328,C,Guyana,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,42.36100296,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,352,C,Iceland,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,7.95466046,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,352,C,Iceland,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,14.13798949,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,356,C,India,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,13.67004635,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,356,C,India,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,9.98732643,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,372,C,Ireland,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,0.99370489,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,372,C,Ireland,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,4.28877334,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,381,C,Italy,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,1.6448156,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,381,C,Italy,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,2.40926421,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,388,C,Jamaica,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,15.62774554,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,392,C,Japan,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,0.62551283,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,392,C,Japan,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,0.18149896,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,504,C,Morocco,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,13.81801913,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,504,C,Morocco,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,25.56201899,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,528,C,Netherlands,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,1.28630086,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,528,C,Netherlands,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,2.88717759,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,554,C,New Zealand,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,12.76238421,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,554,C,New Zealand,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,16.19616645,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,579,C,Norway,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,3.22747446,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,579,C,Norway,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,4.61468762,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,591,C,Panama,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,14.15587992,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,604,C,Peru,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,9.48446014,,Q,Volume,A,Actual
